"","artist","n"
"4059","joop",1
"4060","joop evers",1
"4061","joost nuissl",6
"4062","jordan & baker",1
"4063","jordan hill",2
"4064","jordi rivera x sprkz ft. koen",63
"4065","jordy",2
"4066","jordy van loon",23
"4067","jorja smith",1
"4068","jorja smith ft. stormzy",1
"4069","jorja smith x preditah",20
"4070","jos wuyts",1
"4071","jose",11
"4072","jose de rico ft. henry mendez",4
"4073","jose feliciano",7
"4074","jose gonzalez",8
"4075","jose james",3
"4076","jose sep",7
"4077","joseph ashworth",1
"4078","josh butler & bontan",1
"4079","josh groban",1
"4080","joshua kadison",9
"4081","josje",7
"4082","joss stone",36
"4083","josylvio",5
"4084","journey",2
"4085","jovanotti",5
"4086","joy division",14
"4087","joy gruttmann",1
"4088","joyce kennedy & jeffrey osborne",1
"4089","joyce sims",6
"4090","jp cooper",34
"4091","jr walker & the all stars",6
"4092","jtothec",26
"4093","juan luis guerra",5
"4094","juan pardo",4
"4095","juana molina",1
"4096","juanes",12
"4097","juanita du plessis",2
"4098","judd strunk",2
"4099","judds",5
"4100","judy collins",1
"4101","judy garland",1
"4102","juice newton",5
"4103","juicy",3
"4104","julee cruise",3
"4105","jules de corte",1
"4106","julia buchner",1
"4107","julia lindholm",5
"4108","julia mattison",1
"4109","julia michaels",10
"4110","julian cope",1
"4111","julian jeweil",3
"4112","julian lennon",9
"4113","julian perretta",2
"4114","julian perretta & feder",3
"4115","juliana hatfield",1
"4116","juliane werding",2
"4117","julie covington",2
"4118","julie london",3
"4119","julien clerc",36
"4120","julien doré",1
"4121","juliet",1
"4122","juliet sikora",1
"4123","julio bashmore ft. sam dew",1
"4124","julio iglesias",22
"4125","julio iglesias ft. willie nelson",1
"4126","june lodge & prince mohamed",2
"4127","june lodge and prince mohammed",2
"4128","june tabor and oysterband",1
"4129","jungle",6
"4130","jungle brothers",7
"4131","junglepussy",1
"4132","junior",1
"4133","junior jack",12
"4134","junior murvin",1
"4135","junior senior",3
"4136","junior senior + grandmaster flash & furious 5",1
"4137","junior walker & the all stars",1
"4138","junk project",3
"4139","jupiter ace",1
"4140","jurgen drews",3
"4141","jürgen drews",1
"4142","jurgen lenz",72
"4143","just a man",1
"4144","just jack",13
"4145","just kiddin",11
"4146","justice",10
"4147","justice & simian",2
"4148","justice ft. simian",1
"4149","justice vs simian + laidback",1
"4150","justice vs simian felix jaehn",1
"4151","justin bieber",72
"4152","justin bieber & bloodpop",13
"4153","justin bieber + bloodpop",7
"4154","justin bieber ft. david guetta",3
"4155","justin bieber ft. ed sheeran",4
"4156","justin bieber ft. jaden smith",1
"4157","justin bieber ft. ludacris",3
"4158","justin bieber ft. skrillex & blood",5
"4159","justin timberlake",504
"4160","justin timberlake & chris stapleton",28
"4161","justin timberlake + arctic monkeys",2
"4162","justin timberlake dua lipa",2
"4163","justin timberlake ft. 50 cent",1
"4164","justin timberlake ft. chris stapleton",35
"4165","justin timberlake ft. jay-z",5
"4166","justin timberlake ft. jay z",5
"4167","justin timberlake ft. t.i.",5
"4168","justin timberlake vs ariana grande",2
"4169","justin timberlake vs kygo ft. parson james",1
"4170","justin timberlake vs luis fonsi, demi lovato",1
"4171","justine pelmelay",2
"4172","jutty ranx",3
"4173","juul kabas",14
"4174","k'naan ft. will.i.am & david guetta",10
"4175","k's choice",35
"4176","k-maro",4
"4177","k ci & jojo",7
"4178","k maro",4
"4179","k.d. lang",4
"4180","k.i.a.",5
"4181","k.i.a. (krapoel in axe)",2
"4182","k.i.d",4
"4183","k1d",14
"4184","k3",60
"4185","kadanz",1
"4186","kadoc",3
"4187","kai tracid",2
"4188","kai warner",1
"4189","kai wen",2
"4190","kaiser chiefs",49
"4191","kajagoogoo",8
"4192","kalash ft. damso",5
"4193","kaleo",41
"4194","kali uchis ft. jorja smith",1
"4195","kali uchis ft. tyler the creator & bootsy collins",9
"4196","kali uchis ft. tyler, the creator & bootsy collins",2
"4197","kaliffa",1
"4198","kamasi washington",2
"4199","kana",2
"4200","kane",23
"4201","kane ft. tiesto",1
"4202","kansas",3
"4203","kanye west",11
"4204","kanye west & lupe fiasco",3
"4205","kanye west ft. adam levine",1
"4206","kanye west ft. chris martin",8
"4207","kanye west ft. chris martin + red hot chili peppers",1
"4208","kanye west ft. dwele",6
"4209","kanye west ft. jamie foxx",6
"4210","kanye west ft. lupe fiasco",3
"4211","kanye west ft. rihanna",2
"4212","kanye west ft. rihanna & kid cudi",3
"4213","kanye west ft. rihanna & many others",2
"4214","kanye west ft. ty dolla $ign",2
"4215","kanye west/t-pain",1
"4216","kaoma",2
"4217","karate",1
"4218","karel fialka",2
"4219","karen damen",71
"4220","karen harding",3
"4221","karen mcdawn",3
"4222","karen young",7
"4223","karin kent",8
"4224","karina pasian",1
"4225","karl zéro",1
"4226","karmon",1
"4227","karree konfituur",7
"4228","kasabian",2
"4229","kashif",4
"4230","kaskade",1
"4231","kaskade & deadmau5",2
"4232","kasper van kooten",1
"4233","kastelruther spatzen",2
"4234","kat deluna ft. busta rhymes",4
"4235","kat deluna ft. elephant man",2
"4236","kat eaton",17
"4237","katastroof",1
"4238","katastroof met lies lefever",2
"4239","kate bush",40
"4240","kate nash",12
"4241","kate ryan",20
"4242","kate winslet",1
"4243","kathleen",7
"4244","kathy sledge",2
"4245","katie melua",16
"4246","katja sulc",2
"4247","kato",3
"4248","kato & sigala ft. hailee steinfeld",3
"4249","katrina & the waves",2
"4250","katrina ft. the waves",35
"4251","katy b",9
"4252","katy b and miss dynamite",1
"4253","katy b ft. geeneus & jessie ware",1
"4254","katy b ft. ms. dynamite",7
"4255","katy b geeneus & jessie ware",1
"4256","katy perry",155
"4257","katy perry and snoop dogg",8
"4258","katy perry ft. juicy j",5
"4259","katy perry ft. migos",3
"4260","katy perry ft. nicki minaj",3
"4261","katy perry ft. skip marley",2
"4262","katy perry ft. snoop dogg",13
"4263","katzenjammer",1
"4264","kavinsky",1
"4265","kavinsky & lovefoxxx",3
"4266","kavinsky ft. the weeknd",3
"4267","kayak",3
"4268","kaytranada ft. alunageorge & goldlink",1
"4269","kaytranada ft. syd",2
"4270","kazzen",5
"4271","kc & jojo",1
"4272","kc & the sunshine band",16
"4273","kc & the sunshineband",8
"4274","kc and the sunshine band",59
"4275","kda ft. tinashe",4
"4276","kda ft. tinie tempah & katy b",1
"4277","ke$ha",17
"4278","keala & the greatest showman ensemble",2
"4279","keala settle & the greatest showman ensemble",83
"4280","keane",120
"4281","kehlani",1
"4282","keith colley",1
"4283","keith jarrett",3
"4284","keith jarrett piano",1
"4285","keith marshall",1
"4286","keith sweat",3
"4287","keith urban ft. carrie underwood",2
"4288","kelela",15
"4289","kelis",43
"4290","kelis & cee-lo",2
"4291","kelis & cee lo",2
"4292","kelis + chance the rapper",1
"4293","kelis ft. andre 3000",5
"4294","kelis ft. too short",1
"4295","kelly clarkson",51
"4296","kelly family",6
"4297","kelly marie",5
"4298","kelly rowland",2
"4299","kelly rowland ft. david guetta",2
"4300","kelly rowland ft. eve",1
"4301","kelly rowland; nelly",1
"4302","kelsey adams",45
"4303","ken colt",1
"4304","kendji girac",9
"4305","kendrick lamar",49
"4306","kendrick lamar & rihanna",1
"4307","kendrick lamar & sza",84
"4308","kendrick lamar + foo fighters",2
"4309","kendrick lamar + tourist lemc",1
"4310","kendrick lamar and sza",6
"4311","kendrick lamar ft. rihanna",7
"4312","kendrick lamar ft. rihanna + arctic monkeys",1
"4313","kendrick lamar ft. rihanna + christine and the queens",1
"4314","kendrick lamar ft. rihanna + daft punk",1
"4315","kendrick lamar ft. rihanna + the roots",1
"4316","kendrick lamar ft. sza",32
"4317","kendrick lamar ft. sza + de jeugd van tegenwoordig",1
"4318","kendrick lamar ft. zacari",1
"4319","keni burke",2
"4320","kenji minogue",1
"4321","kenn colt",84
"4322","kenn colt ft. michael mccrae",1
"4323","kenn colt x nari & milani",146
"4324","kenny ""dope"" presents the bucketheads",4
"4325","kenny b",10
"4326","kenny burke",2
"4327","kenny g",2
"4328","kenny hawkes",3
"4329","kenny loggins",31
"4330","kenny lynch",1
"4331","kenny rodgers",1
"4332","kenny rodgers & sheena easton",1
"4333","kenny rogers",13
"4334","kensington",3
"4335","kent",1
"4336","kent jones",2
"4337","keri hilson ft. kanye west & ne-yo",1
"4338","kermisklanten",4
"4339","ketty lester",1
"4340","kevin",37
"4341","kevin ayers",8
"4342","kevin coyne",3
"4343","kevin ft. crooks",2
"4344","kevin lytle",3
"4345","kevin lyttle",2
"4346","kevin nuijten",7
"4347","kevin rowland and dexy's midnight runners",2
"4348","kevin smit",1
"4349","key hano",1
"4350","keziah jones",1
"4351","khadja nin",2
"4352","khaled",36
"4353","khalid",2
"4354","khemistry",2
"4355","khruangbin",6
"4356","kia",2
"4357","kid creole & the coconuts",19
"4358","kid creole and the coconuts",7
"4359","kid cudi ft. crookers",10
"4360","kid cudi ft. mgmt & ratatat",7
"4361","kid cudi vs. crookers",2
"4362","kid frost",2
"4363","kid rock",8
"4364","kid safari",2
"4365","kidda",2
"4366","kids from fame",2
"4367","kids united",1
"4368","kiesza",7
"4369","kiesza + lykke li",1
"4370","kiiara",16
"4371","kiki & pearly",2
"4372","kiki dee",14
"4373","killing joke",3
"4374","kim appleby",1
"4375","kim carnes",27
"4376","kim dejonghe",4
"4377","kim kay",3
"4378","kim sims",1
"4379","kim wilde",94
"4380","kimberly",1
"4381","kimbra",1
"4382","kinderen voor kinderen",6
"4383","king",13
"4384","king bee",1
"4385","king dalton",1
"4386","king harris",4
"4387","king krimson",1
"4388","king krule",1
"4389","kings of convenience",3
"4390","kings of leon",123
"4391","kings of tomorrow",5
"4392","kings of tomorrow ft. april",1
"4393","kings of tomorrow ft. kandace springs",25
"4394","kinks",14
"4395","kirsty maccoll",9
"4396","kiss",26
"4397","kissing the pink",13
"4398","kitty daisy and lewis",1
"4399","klangkarussell",17
"4400","klaxons",7
"4401","klein orkest",2
"4402","klf (the)",1
"4403","klf and tammy wynette",7
"4404","klf ft. tammy wynette",1
"4405","klingande",55
"4406","klique",1
"4407","klostertaler",1
"4408","klubbb 3",40
"4409","klubbb3",12
"4410","knife party",1
"4411","kodak black ft. lil' wayne",3
"4412","koel moe dee",1
"4413","koen crucke",2
"4414","koen de bruyne",2
"4415","kokomo",1
"4416","kolibris",1
"4417","kollektiv turmstrasse",4
"4418","kolsch",3
"4419","kölsch",11
"4420","kolsch ft. troels abrahamsen",4
"4421","komakino",1
"4422","kommil foo",20
"4423","konglige norske marines musikkorps",1
"4424","kool & the gang",99
"4425","kool and the gang",58
"4426","koos alberts",10
"4427","korgis",6
"4428","korn",1
"4429","kosheen",6
"4430","kraak & smaak ft. ben westbeech",1
"4431","kraantje pappie",18
"4432","kraantje pappie ft. bizzey",8
"4433","kraantje pappie vs technotronic",1
"4434","kraftwerk",20
"4435","kream ft. clara mae",2
"4436","krema kawa ft. david bovee",3
"4437","kreuners",37
"4438","krewella",4
"4439","krezip",21
"4440","krid snero",1
"4441","kris de bruyne",45
"4442","kris kristofferson",2
"4443","kris kross",10
"4444","kris kross amsterdam & conor maynard ft. ty dolla $ign",3
"4445","kris kross amsterdam ft. jorge blanco",47
"4446","kriss kross amsterdam ft. jorge blanco",1
"4447","kristin hersh",5
"4448","kristin hersh & michael stipe",1
"4449","kristin hersh and michael stipe",1
"4450","kristina",2
"4451","kristina bach",1
"4452","kristine w",5
"4453","kristof",1
"4454","kronic ft. leon thomas",3
"4455","krs one",1
"4456","kt tunstall",23
"4457","kula shaker",1
"4458","kungs ft. ephemerals",3
"4459","kungs ft. jamie n commons",6
"4460","kungs ft. olly murs & coely",2
"4461","kungs ft. olly murs and coely",2
"4462","kungs vs. cookin' on 3 burners",59
"4463","kurt",2
"4464","kurt crabbe",25
"4465","kurt darren",13
"4466","kurt nilsen",11
"4467","kurtis blow",9
"4468","kuruki",2
"4469","kygo",61
"4470","kygo & ellie goulding",2
"4471","kygo & selena gomez",2
"4472","kygo ft. conrad",20
"4473","kygo ft. ella henderson",1
"4474","kygo ft. justin jesso",56
"4475","kygo ft. kodaline",2
"4476","kygo ft. maty noyes",9
"4477","kygo ft. night care",148
"4478","kygo ft. parson james",17
"4479","kygo ft. selena gomez",19
"4480","kyle ft. lil yachty",3
"4481","kylie minogue",143
"4482","kylie minogue ft. jason donovan",3
"4483","kym sims",8
"4484","l.l.cool j.",1
"4485","l.t.d.",13
"4486","la bionda",9
"4487","la bouche",3
"4488","la bush team",3
"4489","la compagnie creole",2
"4490","la esterella",3
"4491","la jerôme",7
"4492","la panika",2
"4493","la riots ft. great good fine ok",1
"4494","la roux",15
"4495","lab trio",1
"4496","labelle",27
"4497","labi siffre",3
"4498","labrinth ft. emeli sande",14
"4499","labrinth ft. tinie tempah",1
"4500","labtrio",1
"4501","lady",1
"4502","lady antebellum",8
"4503","lady bee ft. rochelle",2
"4504","lady gaga",165
"4505","lady gaga ft. beyonce",16
"4506","lady gaga ft. colby o'donis",15
"4507","lady gaga ft. r. kelly",4
"4508","lady linn",8
"4509","lady linn & her magnificent 7",4
"4510","lady linn & her magnificent seven",2
"4511","lady linn and her magnificent seven",17
"4512","lady linn ft. flip kowlier",2
"4513","lady wray",1
"4514","lafayette street band",2
"4515","laid back",9
"4516","laidback",4
"4517","laidback luke & mark villa",7
"4518","lais",8
"4519","lakeside",4
"4520","lalalover",7
"4521","lalo schifrin",2
"4522","lamb",3
"4523","lambda",2
"4524","lamp lazarus en kris",8
"4525","lamp lazerus en kris",2
"4526","lana del rey",39
"4527","lana del rey ft. the weeknd",2
"4528","lana vega",3
"4529","lange jojo",7
"4530","lani",1
"4531","lapsley",10
"4532","lara fabian",21
"4533","larry graham",1
"4534","larry wu",2
"4535","larrykoek",2
"4536","larse",1
"4537","las ketchup",2
"4538","laserkraft 3d",3
"4539","lasgo",7
"4540","latour",1
"4541","latoya jackson",6
"4542","laura",3
"4543","laura branigan",11
"4544","laura groeseneken",1
"4545","laura jansen",1
"4546","laura lynn",117
"4547","laura lynn & de romeo's",5
"4548","laura lynn & matthias lens",2
"4549","laura marling",3
"4550","laura mvula",3
"4551","laura omloop",3
"4552","laura pausini",6
"4553","laura tesoro",242
"4554","laura tesoro vs p!nk",1
"4555","laura wilde",1
"4556","laurena",2
"4557","laurent garnier",9
"4558","laurent voulzy",4
"4559","laurent voulzy and nina miranda",1
"4560","laurent wolf",24
"4561","laurie anderson",2
"4562","lauryn hill",15
"4563","lauv",6
"4564","lavvi ebbel",1
"4565","lawineboys",6
"4566","layo/bushwacka!",1
"4567","lazy jay",1
"4568","lcd soundsystem",5
"4569","le 77",3
"4570","le club",9
"4571","le mystere des voix bulgares",1
"4572","le park",5
"4573","le velo vert",1
"4574","le youth",1
"4575","lea michele",1
"4576","lea rue",6
"4577","lea rue keepers",1
"4578","leading ladies",3
"4579","leandro da silva vs beyonce",1
"4580","leann rimes",12
"4581","led zeppelin",10
"4582","lee fields and the expressions",2
"4583","lee hazlewood and nancy sinatra",1
"4584","lee lynch",1
"4585","lee marvin",2
"4586","lee prentiss",1
"4587","lee towers",7
"4588","lee walker",2
"4589","lee walker & dj deeon ft. katy b & mnek + black box revelation",1
"4590","lee walker vs. dj deeon ft. katy b",3
"4591","leela james",2
"4592","leen jongewaard & adele bloemendaal",1
"4593","left side",1
"4594","leidse sleutelgaten",1
"4595","leif garrett",5
"4596","leila gobi",1
"4597","leila k",10
"4598","leki",12
"4599","leki & the sweet mints",2
"4600","leki and the sweet mints",1
"4601","lemonheads",1
"4602","len",1
"4603","lena",1
"4604","lena meyer-landrut",1
"4605","lene lovich",2
"4606","lene marlin",6
"4607","lenie gerrits",3
"4608","lennert wolfs",1
"4609","lennert wolfs & oualid",7
"4610","lenny & de wespen",11
"4611","lenny en de wespen",1
"4612","lenny kravitz",121
"4613","lenny kuhr",5
"4614","lenny kuhr ft. les poppys",1
"4615","leno banton ft. iotosh",1
"4616","leo rojas",4
"4617","leo sayer",24
"4618","leon beal",1
"4619","leon bridges",7
"4620","leon haywood",14
"4621","leona lewis",15
"4622","leonard cohen",19
"4623","leonard cohen & jennifer warnes",1
"4624","leopold 3",7
"4625","leopold iii",10
"4626","leopold nord & vous",1
"4627","leopold nord et vous",3
"4628","les baxter",1
"4629","les cerveaux lents",1
"4630","les charmeurs",7
"4631","les guitares magiques",1
"4632","les guitares magiques en jan de smet",1
"4633","les humphries singers",5
"4634","les humprhies singers",14
"4635","les negresses vertes",2
"4636","les poppys",7
"4637","les reed orchestra",3
"4638","les rita mitsouko",6
"4639","les tueurs de la lune de miel",1
"4640","lesley gore",1
"4641","lester & denwood",1
"4642","level 42",123
"4643","levellers",13
"4644","levert",9
"4645","leyers michiels and soulsister",31
"4646","lg jazz collective",1
"4647","lhasa",2
"4648","liam gallagher",2
"4649","liam payne",197
"4650","liam payne & rita ora",149
"4651","liam payne ft. quavo",2
"4652","liam payne ft. rita ora",3
"4653","liam payne ft. rita ora vs justin timberlake",1
"4654","liam payne ft. rita ora vs major lazer",1
"4655","lian ross",1
"4656","lianne la havas",3
"4657","liasons dangereuses",1
"4658","liberty x",2
"4659","liduid ft. sylver",1
"4660","liesbeth list",3
"4661","liesbeth list & ramses shaffy",5
"4662","liesbeth list en ramses shaffy",1
"4663","lieutenant pigeon",2
"4664","lieven",12
"4665","lieven tavernier",1
"4666","lifelike",2
"4667","lifelike & kris menace",1
"4668","light of the world",2
"4669","lighthouse family",20
"4670","lika morgan",3
"4671","like mike",124
"4672","like mike vs laura tesoro",1
"4673","lil' kim",3
"4674","lil' kim ft. sisqo",2
"4675","lil' kleine ft. ronnie flex",8
"4676","lil kleine",119
"4677","lil kleine & mr. polska",8
"4678","lil kleine + adele",3
"4679","lil kleine + nirvana",1
"4680","lil kleine + the chemical brothers",1
"4681","lil kleine + triggerfinger",2
"4682","lil kleine + vanilla ice",2
"4683","lil kleine ft. boef",2
"4684","lil kleine ft. ronnie flex",87
"4685","lil louis",1
"4686","lil pump",53
"4687","lil pump vs regi & ot",1
"4688","lil uzi vert",2
"4689","lil wayne, wiz khalifa & imagine dragons ft. ty dolla $ign, logic & x ambassadors",6
"4690","liliane saint-pierre",56
"4691","liliane st pierre",4
"4692","lilly wood & the prick",2
"4693","lilly wood & the prick and robin schulz",18
"4694","lilly wood and the prick and robin schulz",5
"4695","lily allen",102
"4696","lily allen ft. giggs",35
"4697","limahl",1
"4698","limburgse zusjes",1
"4699","lime",18
"4700","limits",5
"4701","limp bizkit",12
"4702","lina steevens",6
"4703","linda de suza",9
"4704","linda fäh",1
"4705","linda ronstadt",18
"4706","linda ronstadt & emmylou harris",1
"4707","linda ronstadt and aaron neville",2
"4708","linda scott",1
"4709","linden jay ft. ruby wood",3
"4710","lindisfarne",1
"4711","lindsay",178
"4712","lindsay & luc steeno",16
"4713","lindsay & the sunsets",1
"4714","lindsey buckingham",3
"4715","lindsey buckingham & christine mcvie",1
"4716","lindsey buckingham and christine mcvie",5
"4717","lindstrom",1
"4718","lindstrom & christabelle",1
"4719","linkin park",15
"4720","linkin park +the source ft. candi staton",1
"4721","linkin park ft. jay-z",5
"4722","linnea henrikson",1
"4723","linus quick",1
"4724","linx",5
"4725","lio",19
"4726","lion babe ft. childish gambino",1
"4727","lionel richie",111
"4728","lionel richie & diana ross",4
"4729","lionel richie and diana ross",2
"4730","lionel ritchie",28
"4731","lipps inc.",32
"4732","liquid ft. silvy",4
"4733","liquid gold",16
"4734","liquid liquid",1
"4735","liquido",31
"4736","lisa del bo",77
"4737","lisa del bo & eli",2
"4738","lisa leman",13
"4739","lisa marie with malcolm mclaren and the bootzilla orchestra",1
"4740","lisa stansfield",65
"4741","lissa lewis",77
"4742","lissa lewis & rob de nijs",1
"4743","listenbee ft. naz tokio",1
"4744","little dots",1
"4745","little dragon ft. faith evans",1
"4746","little eva",5
"4747","little jimmy osmond",2
"4748","little mix",23
"4749","little mix ft. missy elliot",3
"4750","little mix ft. sean paul",6
"4751","little peggy march",2
"4752","little richard",3
"4753","little river band",3
"4754","little steven",3
"4755","little steven and the disciples of soul",3
"4756","little willie john",1
"4757","live",21
"4758","living colour",6
"4759","living in a box",3
"4760","lize marke",2
"4761","lizz wright",1
"4762","ll cool j",15
"4763","lloyd cole",8
"4764","lloyd cole & the commotions",3
"4765","lloyd cole and the commotions",1
"4766","lloyd ft. andre 3000 & lil wayne",2
"4767","lmfao",14
"4768","lmfao ft. lauren bennett & goonrock",21
"4769","lmfao ft. natalia kills",1
"4770","lny tnz",3
"4771","lo moon",6
"4772","lobo",7
"4773","locnville",1
"4774","lode den turck",1
"4775","lodewijck van avezaath",1
"4776","loeki knol",1
"4777","logic & rag`n`bone man",16
"4778","logic ft. alessia cara & khalid",25
"4779","logic ft. alessia cara & khalid + dog eat dog",2
"4780","logic ft. alessia cara & khalid + ol dirty bastard & kelis",2
"4781","loic nottet",15
"4782","loïc nottet",12
"4783","loleatta holloway",1
"4784","loma",3
"4785","london beat",42
"4786","london grammar",248
"4787","london grammar + beastie boys",1
"4788","london grammar + muse",2
"4789","londonbeat",15
"4790","lone",2
"4791","lone justice",2
"4792","long john baldry",1
"4793","long tall ernie & the shakers",4
"4794","lonnie gordon",6
"4795","loona",1
"4796","loose ends",1
"4797","lorca",3
"4798","lord huron",6
"4799","lorde",43
"4800","loredana",34
"4801","loreen",22
"4802","loretta lynn",1
"4803","lori spee",2
"4804","lorne greene",1
"4805","los bravos",2
"4806","los del rio",6
"4807","los lobos",20
"4808","los payos",1
"4809","los super seven",1
"4810","lost desert ft. adomas",2
"4811","lost frequencies",49
"4812","lost frequencies & janieck",9
"4813","lost frequencies & netsky",8
"4814","lost frequencies & netsky + absynthe minded",2
"4815","lost frequencies & zonderling",427
"4816","lost frequencies & zonderling + david bowie & queen",1
"4817","lost frequencies & zonderling + drake ft. rihanna",1
"4818","lost frequencies & zonderling + mumford & sons",2
"4819","lost frequencies & zonderling + talking heads",1
"4820","lost frequencies & zonderling + the national",1
"4821","lost frequencies ft. axel ehnstrom",2
"4822","lost frequencies ft. axel ehnström",3
"4823","lost frequencies ft. janieck devy",17
"4824","lost frequencies ft. sandro cavazza",28
"4825","lost frequencies ft. zonderling",9
"4826","lost frequencies ft. zonderling vs carly rae jepsen",1
"4827","lost frequencies ft. zonderling vs delv!s",1
"4828","lost frequencies ft. zonderling vs drake & rihanna",1
"4829","lost frequencies ft. zonderling vs robin thicke & t.i., pharrell",2
"4830","lost frequencies vs zonderling",28
"4831","lost horizons",1
"4832","lotus",2
"4833","lou & the hollywood banana's",6
"4834","lou & the hollywood bananas",8
"4835","lou and the hollywood bananas",1
"4836","lou bega",15
"4837","lou gramm",1
"4838","lou rawls",37
"4839","lou rawls and diane reeves",1
"4840","lou rawls ft. diana reeves",1
"4841","lou reed",22
"4842","lou reed & sam moore",4
"4843","lou reed and john cale",2
"4844","louane",184
"4845","louis-jean cormier",1
"4846","louis armstrong",8
"4847","louis armstrong & his allstars",1
"4848","louis flion",19
"4849","louis fonsi & daddy yankee ft. justin bieber",3
"4850","louis jordan",2
"4851","louis neefs",74
"4852","louis prima",5
"4853","louis the child ft. caroline ailin",80
"4854","louis tomlinson",104
"4855","louis tomlinson & bebe rexha",1
"4856","louis tomlinson ft. bebe rexha",1
"4857","louisa johnson",2
"4858","louise",5
"4859","louise tucker",2
"4860","louisette",4
"4861","love",2
"4862","love affair",3
"4863","love luca",1
"4864","love unlimited",17
"4865","love unlimited orchestra",2
"4866","loveless ft. tomine harket",1
"4867","lovin' spoonful",1
"4868","lowell george",1
"4869","lowland trio",1
"4870","lowrider",1
"4871","lowrider ft. zwartwerk",1
"4872","loyle carner",2
"4873","lp",19
"4874","luc bral",1
"4875","luc caals",1
"4876","luc margeaux",1
"4877","luc steeno",43
"4878","luc van acker & anna domino",2
"4879","luc van acker and anna domino",4
"4880","luc van acker en anna domino",2
"4881","luc van meeuwen",1
"4882","luc van meeuwen & mieke",3
"4883","luca guerrieri",4
"4884","lucas & steve",133
"4885","lucas & steve & mike williams & curbi",2
"4886","lucas & steve ft. jake reese",2
"4887","lucas & steve x firebeatz ft. little giants",42
"4888","lucas & steve x pep & rash",3
"4889","lucas en gea",12
"4890","lucas santtana",1
"4891","lucenzo ft. don omar",4
"4892","luciana & dave aud?",1
"4893","lucifer",1
"4894","lucille starr",2
"4895","lucky fonz iii",1
"4896","lucy and the birds",2
"4897","lucy loes",1
"4898","lucy pearl",16
"4899","lucy pearl + rhcp",1
"4900","lucy pearl + tc matic",1
"4901","ludacris",2
"4902","ludovico einaudi",1
"4903","luis fonsi",156
"4904","luis fonsi & daddy yankee",8
"4905","luis fonsi & daddy yankee ft. justin bieber",10
"4906","luis fonsi & demi lovato",201
"4907","luis fonsi ft. daddy yankee",8
"4908","luis fonsi ft. demi lovato",26
"4909","luisa fernandez",7
"4910","luk bral",10
"4911","luk vankessel",8
"4912","luka bloom",7
"4913","lukas graham",34
"4914","lulu and the lovers",1
"4915","lumidee",6
"4916","luna twist",4
"4917","lunacoustic",50
"4918","luniz",18
"4919","lupe fiasco & mathew santos",1
"4920","lushington",2
"4921","luther vandross",19
"4922","luther vandross & beyonce",2
"4923","lutricia mcneal",3
"4924","luv",12
"4925","luv'",18
"4926","luwten",3
"4927","lvndscape ft. kaptan",2
"4928","lykke li",37
"4929","lyle lovett",4
"4930","lyn collins",1
"4931","lyn stanley ft. mike garson",1
"4932","lynn anderson",7
"4933","lynn collins",2
"4934","lynsey de paul",5
"4935","lynyrd skynyrd",12
"4936","lyres",1
"4937","lytz",1
"4938","m",25
"4939","m-22 ft. medina",79
"4940","m a r r s",1
"4941","m kids",5
"4942","m people",31
"4943","m. ward",2
"4944","m.c. hammer",3
"4945","m.f.s.b.",1
"4946","m.i.a.",6
"4947","m.i.a. (britse); rye rye",1
"4948","m?",2
"4949","m83",8
"4950","maaike ouboter",17
"4951","maarten cox",54
"4952","maartje van neygen",16
"4953","mabel",63
"4954","mabel ft. kojo funds",2
"4955","mac & kathie kissoon",4
"4956","mac band",5
"4957","mac demarco",1
"4958","mac miller ft. anderson .paak",12
"4959","machiavel",16
"4960","machine gun kelly",79
"4961","machine gun kelly ft. camila cabello",3
"4962","machine gun kelly ft. hailee steinfeld",2
"4963","machine gun kelly x ambassadors & bebe rexha",71
"4964","machine gun kelly x camila cabello",4
"4965","machine gun kelly, x ambassadors & bebe rexha",59
"4966","mackenzie & jessy",5
"4967","mackenzie (the)",1
"4968","mackenzie (the) ft. jessy",2
"4969","mackenzie and jessy",1
"4970","mackenzie ft. jessie",2
"4971","mackenzie ft. jessy",1
"4972","macklemore & ryan lewis featuri",1
"4973","macklemore & ryan lewis ft. idris elba & anderson .paak",2
"4974","macklemore & ryan lewis ft. melle mel, kool moe dee & eric nally & grandmaster caz",8
"4975","macklemore & ryan lewis ft. wanz",19
"4976","macklemore & skylar grey",8
"4977","macklemore ft. kesha",16
"4978","macklemore ft. ryan lewis & mary lambert",4
"4979","macklemore ft. ryan lewis & ray dalton",43
"4980","macklemore ft. skylar gray",2
"4981","macklemore ft. skylar grey",10
"4982","macy gray",16
"4983","mad dog loose",2
"4984","madagascar",4
"4985","madame monsieur",6
"4986","madcon",31
"4987","madcon + bucketheads",1
"4988","madcon ft. ray dalton",4
"4989","madcon ft.kelly rowland",4
"4990","madeleine peyroux",1
"4991","mademoiselle nineteen",4
"4992","madensuyu",3
"4993","madilyn bailey",3
"4994","madison avenue",13
"4995","madness",86
"4996","madonna",376
"4997","madonna and justin timberlake",12
"4998","madonna ft. justin timberlake",3
"4999","madou",7
"5000","madredeus",1
"5001","maggie mac neal",2
"5002","maggie macneal",3
"5003","maggie mcneal",1
"5004","magic system",3
"5005","magic system ft. chawki",4
"5006","magic wand ft. emma carn",2
"5007","magic!",3
"5008","magician (the)",74
"5009","magician (the) & julian perretta",3
